city,ipc_2022,ipc_2023,ipc_2024,ipc_actual_population_in_lakhs_2011,ipc_rate_of_cognizable_crimes_ipc_2024,ipc_chargesheeting_rate_2024,total_2022,total_2023,total_2024,total_actual_population_in_lakhs_2011,total_rate_of_cognizable_crimes_ipcsll_2024,total_chargesheeting_rate_2024,women_2022,women_2023,women_2024,women_actual_population_in_lakhs_2011,women_rate_of_total_crime_against_women_2024,women_chargesheeting_rate_2024,child_2022,child_2023,child_2024,child_chargesheeting_rate_2024,murder_gain,murder_personal_vendetta_or_enmity,murder_dowry,murder_witchcraft,murder_child_human_sacrifice,murder_communal_religious,murder_casteism,murder_sl,murder_city,murder_class_conflict,murder_for_political_reason,murder_honour_killing,murder_love_affairs,murder_illicit_relationship,murder_extremism_insurgency,murder_during_dacoity_robbery,murder_gang_rivalry,murder_psychopathserial_killers,murder_sale_of_body_parts,murder_disputes_disputes_total,murder_property_land_dispute,murder_family_dispute,murder_petty_quarrel_dispute,murder_disputes_money_dispute,murder_water_dispute,murder_due_to_accidents_on_roads,murder_blind_murderno_cluemotive_not_known,murder_other_causes_or_motive,murder_total_motives_of_murder,cyber_personal_revenge,cyber_emotional_motives_like_anger_etc,cyber_fraud,cyber_extortion,cyber_causing_disrepute,cyber_prank,cyber_sl,cyber_city,cyber_sexual_exploitation,cyber_political_motives,cyber_terrorist_activities,cyber_inciting_hate_against_country,cyber_disrupt_public_service,cyber_sale_purchase_illegal_drugs,cyber_developing_own_business,cyber_spreading_piracy,cyber_psycho_or_pervert,cyber_steal_information,cyber_abetment_to_suicide,cyber_others,cyber_total,juv_socio_education_illiterate,juv_socio_upto_primary,juv_socio_above_primary_to_matric,juv_socio_above_matric_to_high_secondary,juv_socio_above_higher_secondary,juv_socio_total,juv_socio_family_background_living_with_parents,juv_socio_living_with_guardians,juv_socio_homeless
Jabalpur,9763.0,8204.0,8944.0,12.7,705.4,86.6,15351.0,14139.0,15414.0,12.7,1215.6,92.2,1039.0,809.0,813.0,6.0,134.5,76.8,594.0,463.0,473.0,31.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,34.0,3.0,6.0,21.0,4.0,0.0,0.0,0.0,1.0,51.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,98.0,53.0,28.0,0.0,179.0,158.0,21.0,0.0
Jamshedpur,2863.0,2386.0,2287.0,13.4,171.1,60.8,3448.0,2959.0,2959.0,13.4,221.3,65.0,330.0,266.0,319.0,6.4,49.8,78.5,16.0,26.0,43.0,94.3,23.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,233.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jodhpur,7695.0,7663.0,6632.0,11.4,582.8,43.5,9840.0,9824.0,8903.0,11.4,782.3,56.4,1380.0,1304.0,907.0,5.4,168.4,64.9,337.0,420.0,317.0,57.9,2.0,5.0,3.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,5.0,5.0,4.0,0.0,0.0,1.0,0.0,33.0,8.0,0.0,24.0,7.0,3.0,0.0,13.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,134.0,16.0,53.0,71.0,26.0,6.0,172.0,120.0,45.0,7.0
Kannur,3536.0,4085.0,3862.0,16.4,235.1,92.4,13141.0,18593.0,14355.0,16.4,873.7,97.8,370.0,445.0,415.0,8.9,46.9,95.7,132.0,132.0,136.0,94.9,0.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,109.0,0.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,21.0,25.0,3.0,49.0,49.0,0.0,0.0
Kollam,7539.0,11191.0,10349.0,11.1,932.3,96.7,18794.0,26264.0,24926.0,11.1,2245.6,98.5,809.0,707.0,708.0,5.8,122.0,96.9,203.0,165.0,266.0,97.2,1.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,0.0,97.0,6.0,6.0,0.0,15.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,65.0,0.0,65.0,65.0,0.0,0.0
Kota,5301.0,5667.0,4673.0,10.0,466.8,48.4,7136.0,8032.0,7105.0,10.0,709.8,65.7,1090.0,1026.0,648.0,4.7,137.4,64.6,340.0,357.0,285.0,51.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,10.0,0.0,34.0,0.0,0.0,47.0,1.0,22.0,0.0,16.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,24.0,227.0,27.0,0.0,278.0,264.0,0.0,14.0
Ludhiana,4706.0,4081.0,3826.0,16.1,237.1,62.3,6789.0,5936.0,5216.0,16.1,323.2,70.6,626.0,441.0,502.0,7.4,67.9,74.5,275.0,258.0,368.0,57.4,0.0,14.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,24.0,2.0,3.0,19.0,0.0,0.0,0.0,6.0,2.0,56.0,13.0,11.0,21.0,2.0,2.0,0.0,17.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,21.0,39.0,9.0,1.0,70.0,70.0,0.0,0.0
Madurai,4121.0,4187.0,3354.0,14.6,229.4,52.7,12289.0,15024.0,15158.0,14.6,1036.8,76.3,283.0,260.0,233.0,7.3,31.9,80.4,148.0,110.0,129.0,86.9,1.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,12.0,17.0,1.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,86.0,0.0,0.0,0.0,18.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,45.0,126.0,21.0,0.0,192.0,180.0,12.0,0.0
Malappuram,4235.0,5466.0,2751.0,17.0,161.9,89.9,7999.0,10986.0,10890.0,17.0,641.0,97.3,401.0,410.0,439.0,8.9,49.4,96.5,184.0,189.0,200.0,94.7,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,146.0,1.0,0.0,0.0,19.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,2.0,6.0,8.0,0.0,16.0,16.0,0.0,0.0
Meerut,5113.0,4725.0,4964.0,14.3,348.4,74.9,6795.0,10312.0,8612.0,14.3,604.4,68.4,825.0,589.0,827.0,6.7,123.4,78.4,289.0,86.0,152.0,82.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nasik,3547.0,4768.0,4763.0,15.6,304.7,56.4,4441.0,5786.0,6044.0,15.6,386.7,64.1,550.0,702.0,813.0,7.4,110.1,75.7,404.0,396.0,493.0,44.3,0.0,17.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,10.0,1.0,0.0,0.0,4.0,1.0,40.0,0.0,0.0,107.0,0.0,0.0,0.0,21.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,143.0,0.0,34.0,92.0,21.0,0.0,147.0,109.0,38.0,0.0
Prayagraj,4529.0,4079.0,3657.0,12.2,300.5,62.0,10466.0,9196.0,7033.0,12.2,577.9,39.4,496.0,589.0,510.0,5.6,90.9,88.8,49.0,75.0,56.0,83.6,1.0,2.0,8.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,29.0,0.0,0.0,310.0,59.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,1.0,3.0,9.0,12.0,0.0,25.0,24.0,0.0,1.0
Raipur,6791.0,6076.0,5905.0,11.2,525.8,66.1,10495.0,10434.0,10872.0,11.2,968.1,80.6,825.0,706.0,611.0,5.4,112.3,48.2,500.0,482.0,396.0,25.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,47.0,0.0,0.0,0.0,0.0,4.0,0.0,23.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.0,0.0,12.0,65.0,15.0,0.0,92.0,88.0,4.0,0.0
Rajkot,6852.0,5368.0,5112.0,13.9,367.5,87.7,13917.0,12372.0,12810.0,13.9,920.9,95.0,345.0,381.0,334.0,6.6,50.6,85.4,127.0,199.0,171.0,64.6,2.0,6.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,33.0,0.0,0.0,42.0,1.0,6.0,0.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,58.0,0.0,3.0,35.0,8.0,0.0,46.0,46.0,0.0,0.0
Ranchi,4330.0,4533.0,4129.0,11.3,366.4,48.4,5245.0,5580.0,5292.0,11.3,469.6,53.9,332.0,364.0,308.0,5.4,57.0,82.8,51.0,64.0,34.0,100.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,255.0,4.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,0.0,4.0,8.0,0.0,0.0,12.0,12.0,0.0,0.0
Srinagar,2725.0,2377.0,2022.0,12.7,158.8,67.4,3125.0,2714.0,2353.0,12.7,184.8,73.0,446.0,399.0,339.0,6.0,56.9,75.9,108.0,117.0,16.0,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiruvananthapuram,14353.0,19606.0,18749.0,16.9,1111.4,95.3,26044.0,32363.0,30882.0,16.9,1830.6,96.5,591.0,760.0,713.0,8.7,81.7,93.9,223.0,194.0,262.0,94.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,16.0,5.0,194.0,21.0,7.0,0.0,27.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,264.0,0.0,0.0,17.0,12.0,1.0,30.0,27.0,3.0,0.0
Thrissur,8939.0,10136.0,8550.0,18.5,460.9,92.6,19078.0,22497.0,20636.0,18.5,1112.5,95.4,822.0,860.0,683.0,9.8,69.8,92.2,281.0,310.0,205.0,85.3,3.0,11.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,6.0,1.0,206.0,5.0,0.0,1.0,28.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,41.0,275.0,0.0,0.0,31.0,45.0,3.0,79.0,45.0,3.0,31.0
Tiruchirapalli,2352.0,2367.0,2013.0,10.2,197.0,66.8,17954.0,14820.0,11370.0,10.2,1112.5,84.1,110.0,119.0,108.0,5.1,21.0,83.5,75.0,96.0,111.0,84.8,2.0,2.0,0.0,0.0,0.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,43.0,17.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,12.0,105.0,29.0,11.0,157.0,157.0,0.0,0.0
Vadodara,3460.0,4320.0,4448.0,18.2,244.8,85.0,15200.0,13703.0,14165.0,18.2,779.6,95.2,218.0,300.0,286.0,8.7,32.8,87.5,108.0,144.0,174.0,72.5,4.0,10.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,62.0,2.0,9.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,5.0,33.0,40.0,11.0,0.0,89.0,78.0,5.0,6.0
Varanasi,3902.0,4951.0,5894.0,14.4,410.7,81.4,4753.0,5699.0,6772.0,14.4,471.9,82.9,534.0,680.0,876.0,6.7,130.0,85.4,145.0,183.0,232.0,60.7,2.0,6.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,25.0,0.0,0.0,198.0,5.0,7.0,8.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0
Vasai Virar,5702.0,5657.0,5158.0,12.2,422.4,71.9,7270.0,7302.0,6639.0,12.2,543.7,77.6,1154.0,1191.0,1115.0,5.7,195.0,71.0,749.0,792.0,810.0,38.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,5.0,1.0,3.0,0.0,0.0,2.0,5.0,28.0,0.0,1.0,59.0,0.0,0.0,0.0,32.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,124.0,9.0,34.0,31.0,21.0,0.0,95.0,80.0,11.0,4.0
Ntr (Vijayawada),13694.0,11157.0,6634.0,14.9,444.9,84.4,15425.0,12514.0,9036.0,14.9,606.0,90.8,2366.0,2221.0,1656.0,7.4,223.7,94.4,554.0,312.0,267.0,86.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,8.0,5.0,3.0,0.0,0.0,3.0,0.0,35.0,1.0,4.0,174.0,0.0,0.0,0.0,33.0,0.0,16.0,73.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,0.0,0.0,286.0,0.0,12.0,75.0,79.0,0.0,166.0,166.0,0.0,0.0
Vishakhapatnam,7980.0,5186.0,5973.0,17.3,345.3,90.5,8563.0,5746.0,7262.0,17.3,419.8,91.7,1329.0,997.0,1182.0,8.6,138.2,96.0,178.0,117.0,151.0,89.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,2.0,6.0,2.0,0.0,0.0,0.0,3.0,24.0,45.0,0.0,297.0,3.0,0.0,0.0,34.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,386.0,7.0,23.0,55.0,11.0,6.0,102.0,102.0,0.0,0.0
+' Crime Rate Is Calculated As Crime Per One Lakh Of Population.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
