state,district,total_ipc_crimes,total_sll_crimes,total_crime_burden,violent_crime_total,property_crime_total,arms_act_cases,ndps_narcotics_cases,contraband_enforcement_total,crimes_against_women_total,crimes_against_children_total,crimes_against_sc_total,crimes_against_st_total,sc_st_atrocities_total,juvenile_ipc_crimes_total,cybercrimes_total,missing_persons_total,missing_children_total,violent_crime_ratio,property_crime_ratio,women_vulnerability_share,child_vulnerability_share,caste_atrocity_share,juvenile_delinquency_ratio,cyber_crime_intensity_per_1k,trafficking_vulnerability_proxy
Odisha,Kandhamal,8451,4108,12559,186,422,0,1929,1929,2318,804,64,98,162,0,39,0,0,0.022,0.0499,0.2743,0.0951,0.0192,0.0,4.6148,0.0
Odisha,Kendrapara,16654,1753,18407,350,724,0,415,415,3673,1931,784,5,789,144,338,0,0,0.021,0.0435,0.2205,0.1159,0.0474,0.0086,20.2954,0.0
Odisha,Keonjhar,19102,8857,27959,281,1033,0,2795,2795,3970,2064,198,284,482,311,343,0,0,0.0147,0.0541,0.2078,0.1081,0.0252,0.0163,17.9562,0.0
Odisha,Khurda,14545,2298,16843,141,834,1,686,687,3726,1356,255,13,268,52,88,0,0,0.0097,0.0573,0.2562,0.0932,0.0184,0.0036,6.0502,0.0
Odisha,Koraput,11188,4455,15643,265,478,0,1463,1463,2506,1050,86,90,176,120,131,0,0,0.0237,0.0427,0.224,0.0939,0.0157,0.0107,11.709,0.0
Odisha,Malkangiri,6565,3813,10378,82,335,10,1303,1313,1557,1064,24,13,37,86,328,0,0,0.0125,0.051,0.2372,0.1621,0.0056,0.0131,49.9619,0.0
Odisha,Mayurbhanj,24679,7543,32222,240,1813,61,2269,2330,4947,2449,196,286,482,75,380,0,0,0.0097,0.0735,0.2005,0.0992,0.0195,0.003,15.3977,0.0
Odisha,Nabarangpur,8803,3233,12036,124,360,4,982,986,1902,764,65,108,173,124,163,0,0,0.0141,0.0409,0.2161,0.0868,0.0197,0.0141,18.5164,0.0
Odisha,Nayagarh,10701,2518,13219,77,384,44,749,793,1344,1091,246,24,270,64,171,0,0,0.0072,0.0359,0.1256,0.102,0.0252,0.006,15.9798,0.0
Odisha,Nuapada,6013,2076,8089,109,121,0,640,640,806,536,68,29,97,0,50,0,0,0.0181,0.0201,0.134,0.0891,0.0161,0.0,8.3153,0.0
Odisha,Puri,22668,5110,27778,339,1036,6,1644,1650,2620,1909,846,0,846,28,180,0,0,0.015,0.0457,0.1156,0.0842,0.0373,0.0012,7.9407,0.0
Odisha,Rayagada,8600,3673,12273,54,397,4,1305,1309,964,563,68,37,105,132,74,0,0,0.0063,0.0462,0.1121,0.0655,0.0122,0.0153,8.6047,0.0
Odisha,Rourkela,17701,4471,22172,269,1147,14,1358,1372,2178,1035,63,59,122,92,910,0,0,0.0152,0.0648,0.123,0.0585,0.0069,0.0052,51.4095,0.0
Odisha,Sambalpur,20091,4646,24737,211,1388,10,1495,1505,2105,1002,167,118,285,324,488,0,0,0.0105,0.0691,0.1048,0.0499,0.0142,0.0161,24.2895,0.0
Odisha,Sonepur,6538,2879,9417,105,387,2,1050,1052,954,422,210,44,254,36,81,0,0,0.0161,0.0592,0.1459,0.0645,0.0388,0.0055,12.3891,0.0
Odisha,Srp(Cuttack),4978,294,5272,13,1166,2,207,209,24,19,8,0,8,8,0,0,0,0.0026,0.2342,0.0048,0.0038,0.0016,0.0016,0.0,0.0
Odisha,Srp(Rourkela),2650,415,3065,4,641,0,282,282,28,19,8,0,8,16,28,0,0,0.0015,0.2419,0.0106,0.0072,0.003,0.006,10.566,0.0
Odisha,Sundargarh,12594,3533,16127,195,733,2,1104,1106,1326,693,57,102,159,180,160,0,0,0.0155,0.0582,0.1053,0.055,0.0126,0.0143,12.7045,0.0
Puducherry,Karaikal,1673,916,2589,10,71,6,29,35,157,119,4,0,4,77,24,101,20,0.006,0.0424,0.0938,0.0711,0.0024,0.046,14.3455,2.5
Puducherry,Puducherry,9914,5068,14982,58,443,29,358,387,813,637,12,0,12,124,623,974,188,0.0059,0.0447,0.082,0.0643,0.0012,0.0125,62.8404,6.2667
Punjab,Amritsar Rural,6988,3944,10932,297,493,156,1810,1966,782,268,12,0,12,96,55,466,400,0.0425,0.0705,0.1119,0.0384,0.0017,0.0137,7.8706,7.8431
Punjab,Barnala,3314,1894,5208,60,256,26,799,825,257,197,36,0,36,41,56,124,28,0.0181,0.0772,0.0775,0.0594,0.0109,0.0124,16.898,1.037
Punjab,Batala,4471,1939,6410,160,376,38,988,1026,525,242,8,0,8,47,52,0,0,0.0358,0.0841,0.1174,0.0541,0.0018,0.0105,11.6305,0.0
Punjab,Bathinda,6370,3606,9976,231,420,54,2060,2114,631,355,38,0,38,100,65,514,352,0.0363,0.0659,0.0991,0.0557,0.006,0.0157,10.2041,6.069
Punjab,Bureau Of Investigation,104,51,155,1,26,16,0,16,6,0,0,0,0,0,3,0,0,0.0096,0.25,0.0577,0.0,0.0,0.0,28.8462,0.0
Punjab,Cp Amritsar,7642,3187,10829,234,845,132,1319,1451,879,328,40,0,40,113,93,369,144,0.0306,0.1106,0.115,0.0429,0.0052,0.0148,12.1696,2.0571
Punjab,Cp Jalandhar,7660,2328,9988,191,983,46,644,690,1071,484,28,0,28,179,1194,1630,424,0.0249,0.1283,0.1398,0.0632,0.0037,0.0234,155.8747,3.8899
