state,district,total_ipc_crimes,total_sll_crimes,total_crime_burden,violent_crime_total,property_crime_total,arms_act_cases,ndps_narcotics_cases,contraband_enforcement_total,crimes_against_women_total,crimes_against_children_total,crimes_against_sc_total,crimes_against_st_total,sc_st_atrocities_total,juvenile_ipc_crimes_total,cybercrimes_total,missing_persons_total,missing_children_total,violent_crime_ratio,property_crime_ratio,women_vulnerability_share,child_vulnerability_share,caste_atrocity_share,juvenile_delinquency_ratio,cyber_crime_intensity_per_1k,trafficking_vulnerability_proxy
Rajasthan,Neem Ka Thana,10275,2696,12971,222,935,86,469,555,1491,333,482,175,657,81,106,1407,300,0.0216,0.091,0.1451,0.0324,0.0639,0.0079,10.3163,2.459
Rajasthan,Pali,16469,4193,20662,285,1560,47,826,873,3022,1088,760,161,921,0,85,4365,684,0.0173,0.0947,0.1835,0.0661,0.0559,0.0,5.1612,1.6847
Rajasthan,Phalodi,4420,1551,5971,126,439,40,433,473,625,222,140,57,197,68,40,414,48,0.0285,0.0993,0.1414,0.0502,0.0446,0.0154,9.0498,0.9231
Rajasthan,Pratapgarh,8531,3483,12014,275,467,190,592,782,1981,1252,95,162,257,43,13,2665,784,0.0322,0.0547,0.2322,0.1468,0.0301,0.005,1.5239,1.5649
Rajasthan,Rajsamand,10298,4298,14596,206,849,118,385,503,2254,1263,524,284,808,106,24,3517,820,0.02,0.0824,0.2189,0.1226,0.0785,0.0103,2.3305,1.9294
Rajasthan,Salumbar,3725,1476,5201,80,229,37,345,382,727,330,8,44,52,97,8,1289,356,0.0215,0.0615,0.1952,0.0886,0.014,0.026,2.1477,4.0
Rajasthan,Sanchore,3660,1356,5016,128,283,34,438,472,824,80,231,91,322,25,18,657,120,0.035,0.0773,0.2251,0.0219,0.088,0.0068,4.918,120.0
Rajasthan,Sawai Madhopur,8804,3142,11946,219,872,54,325,379,1778,443,246,223,469,145,261,636,120,0.0249,0.099,0.202,0.0503,0.0533,0.0165,29.6456,1.2632
Rajasthan,Scrb,49,0,49,0,10,0,0,0,0,0,0,0,0,0,39,0,0,0.0,0.2041,0.0,0.0,0.0,0.0,795.9184,0.0
Rajasthan,Shahpura,6209,2156,8365,159,575,17,276,293,1198,295,237,138,375,54,62,1498,448,0.0256,0.0926,0.1929,0.0475,0.0604,0.0087,9.9855,6.7879
Rajasthan,Sikar,18459,3878,22337,388,2167,87,616,703,2596,835,1080,209,1289,105,179,3122,632,0.021,0.1174,0.1406,0.0452,0.0698,0.0057,9.6972,2.2411
Rajasthan,Sirohi,8715,4157,12872,201,887,112,818,930,1515,1012,402,134,536,333,63,1914,396,0.0231,0.1018,0.1738,0.1161,0.0615,0.0382,7.2289,1.1579
Rajasthan,Ssb,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajasthan,Tonk,12225,8049,20274,288,1158,99,687,786,2342,244,487,330,817,186,24,2143,448,0.0236,0.0947,0.1916,0.02,0.0668,0.0152,1.9632,12.4444
Rajasthan,Udaipur,24802,10197,34999,633,2293,454,1994,2448,3572,2815,502,358,860,691,186,6095,1832,0.0255,0.0925,0.144,0.1135,0.0347,0.0279,7.4994,1.987
Sikkim,Cid,12,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Sikkim,Gangtok (East),828,198,1026,10,74,2,27,29,142,133,4,0,4,0,60,615,0,0.0121,0.0894,0.1715,0.1606,0.0048,0.0,72.4638,0.0
Sikkim,Gyalshing (West),102,35,137,4,4,0,6,6,63,51,0,0,0,0,0,0,0,0.0392,0.0392,0.6176,0.5,0.0,0.0,0.0,0.0
Sikkim,Mangan (North),90,18,108,2,4,0,0,0,20,27,0,0,0,0,0,18,0,0.0222,0.0444,0.2222,0.3,0.0,0.0,0.0,0.0
Sikkim,Namchi (South),340,155,495,8,7,0,33,33,165,161,0,0,0,4,0,76,4,0.0235,0.0206,0.4853,0.4735,0.0,0.0118,0.0,0.25
Sikkim,Pakyong (East),306,134,440,2,21,2,35,37,51,70,0,0,0,4,0,154,4,0.0065,0.0686,0.1667,0.2288,0.0,0.0131,0.0,0.3636
Sikkim,Soreng (West),157,48,205,2,3,0,6,6,54,68,0,0,0,0,0,43,16,0.0127,0.0191,0.3439,0.4331,0.0,0.0,0.0,2.0
Tamil Nadu,Ariyalur,5843,7540,13383,42,156,9,2855,2864,744,927,231,5,236,170,100,1032,360,0.0072,0.0267,0.1273,0.1587,0.0404,0.0291,17.1145,72.0
Tamil Nadu,Avadi,15512,27647,43159,118,1490,3,5761,5764,1019,986,50,4,54,301,2013,4714,1420,0.0076,0.0961,0.0657,0.0636,0.0035,0.0194,129.7705,710.0
Tamil Nadu,Chengalpattu,11263,12867,24130,79,363,20,6639,6659,401,633,28,0,28,131,555,1937,476,0.007,0.0322,0.0356,0.0562,0.0025,0.0116,49.2764,79.3333
Tamil Nadu,Chennai,56860,91423,148283,493,4195,32,12423,12455,3850,2624,144,0,144,1186,6320,10776,2700,0.0087,0.0738,0.0677,0.0461,0.0025,0.0209,111.1502,540.0
Tamil Nadu,Coimbatore,14732,22602,37334,98,596,1,9208,9209,1333,1107,198,5,203,89,620,2963,992,0.0067,0.0405,0.0905,0.0751,0.0138,0.006,42.0853,992.0
Tamil Nadu,Coimbatore City,16374,9422,25796,89,2128,3,2763,2766,1396,927,80,0,80,82,905,3177,828,0.0054,0.13,0.0853,0.0566,0.0049,0.005,55.2706,103.5
Tamil Nadu,Cuddalore,24087,27826,51913,122,531,0,13567,13567,1571,1729,316,0,316,0,832,2752,508,0.0051,0.022,0.0652,0.0718,0.0131,0.0,34.5415,84.6667
Tamil Nadu,Cyber Cell,4,3,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0
Tamil Nadu,Dharmapuri,9700,13744,23444,64,314,16,6691,6707,1023,917,166,27,193,47,147,1560,708,0.0066,0.0324,0.1055,0.0945,0.0199,0.0048,15.1546,236.0
Tamil Nadu,Dindigul,17343,22050,39393,126,605,69,8998,9067,1298,1449,348,8,356,139,248,3405,1440,0.0073,0.0349,0.0748,0.0835,0.0205,0.008,14.2997,1440.0
Tamil Nadu,Erode,13706,16788,30494,90,463,18,7450,7468,1344,1258,165,9,174,80,240,2385,840,0.0066,0.0338,0.0981,0.0918,0.0127,0.0058,17.5106,840.0
Tamil Nadu,Kallakurichi,13297,16607,29904,98,607,35,9101,9136,977,852,180,8,188,0,256,1582,304,0.0074,0.0456,0.0735,0.0641,0.0141,0.0,19.2525,304.0
Tamil Nadu,Kanchipuram,10394,6535,16929,73,496,0,2644,2644,312,359,60,0,60,125,343,1970,488,0.007,0.0477,0.03,0.0345,0.0058,0.012,32.9998,488.0
Tamil Nadu,Kanyakumari,12926,19199,32125,146,445,4,6118,6122,629,763,37,4,41,216,245,1184,368,0.0113,0.0344,0.0487,0.059,0.0032,0.0167,18.954,122.6667
Tamil Nadu,Karur,7247,17014,24261,62,277,9,7842,7851,388,558,133,0,133,80,101,1124,392,0.0086,0.0382,0.0535,0.077,0.0184,0.011,13.9368,65.3333
Tamil Nadu,Krishnagiri,15322,25979,41301,140,501,29,11989,12018,1022,648,142,15,157,148,554,2804,1028,0.0091,0.0327,0.0667,0.0423,0.0102,0.0097,36.1572,64.25
Tamil Nadu,Madurai,17452,16102,33554,196,814,89,7540,7629,1044,833,302,0,302,324,431,3287,1112,0.0112,0.0466,0.0598,0.0477,0.0173,0.0186,24.6963,1112.0
Tamil Nadu,Madurai City,11311,36137,47448,115,845,277,3632,3909,848,516,120,0,120,350,358,2422,676,0.0102,0.0747,0.075,0.0456,0.0106,0.0309,31.6506,45.0667
Tamil Nadu,Mayiladuthurai,7123,14424,21547,53,213,30,7872,7902,575,499,98,5,103,121,55,995,272,0.0074,0.0299,0.0807,0.0701,0.0145,0.017,7.7215,54.4
Tamil Nadu,Nagapattinam,4218,10679,14897,29,107,49,5908,5957,448,468,23,0,23,73,35,561,156,0.0069,0.0254,0.1062,0.111,0.0055,0.0173,8.2978,156.0
Tamil Nadu,Namakkal,10856,10900,21756,65,261,14,4748,4762,588,877,207,4,211,33,220,1302,480,0.006,0.024,0.0542,0.0808,0.0194,0.003,20.2653,480.0
Tamil Nadu,Nilgiris,2176,7427,9603,22,78,8,2869,2877,350,327,45,4,49,12,204,473,224,0.0101,0.0358,0.1608,0.1503,0.0225,0.0055,93.75,224.0
Tamil Nadu,Other Units,378,1659,2037,0,83,0,1233,1233,15,8,0,0,0,0,309,0,0,0.0,0.2196,0.0397,0.0212,0.0,0.0,817.4603,0.0
Tamil Nadu,Perambalur,4970,5758,10728,48,246,4,2353,2357,878,814,123,0,123,92,64,926,320,0.0097,0.0495,0.1767,0.1638,0.0247,0.0185,12.8773,320.0
Tamil Nadu,Pudukottai,12462,13938,26400,73,362,93,5859,5952,503,427,258,0,258,70,96,2132,500,0.0059,0.029,0.0404,0.0343,0.0207,0.0056,7.7034,500.0
Tamil Nadu,Railway Chennai,2761,118,2879,10,604,1,0,1,19,22,0,0,0,106,0,82,4,0.0036,0.2188,0.0069,0.008,0.0,0.0384,0.0,1.3333
Tamil Nadu,Railway Trichy,1448,225,1673,3,328,0,101,101,15,16,4,4,8,11,0,53,8,0.0021,0.2265,0.0104,0.011,0.0055,0.0076,0.0,8.0
Tamil Nadu,Ramnathapuram,12157,15934,28091,88,372,70,7687,7757,780,598,152,0,152,123,88,1605,456,0.0072,0.0306,0.0642,0.0492,0.0125,0.0101,7.2386,16.2857
Tamil Nadu,Ranipet,9173,11910,21083,62,313,3,5876,5879,395,562,13,4,17,51,192,1691,440,0.0068,0.0341,0.0431,0.0613,0.0019,0.0056,20.931,440.0
Tamil Nadu,Salem,14371,23331,37702,102,247,6,12134,12140,880,863,155,0,155,124,236,1729,616,0.0071,0.0172,0.0612,0.0601,0.0108,0.0086,16.422,205.3333
Tamil Nadu,Salem City,8921,29325,38246,65,466,8,14769,14777,471,531,86,0,86,149,183,1533,540,0.0073,0.0522,0.0528,0.0595,0.0096,0.0167,20.5134,90.0
Tamil Nadu,Sivagangai,11627,13852,25479,158,497,176,5085,5261,592,467,317,0,317,222,203,2092,712,0.0136,0.0427,0.0509,0.0402,0.0273,0.0191,17.4594,712.0
Tamil Nadu,Tambaram,17143,19971,37114,134,1664,0,4576,4576,682,531,46,0,46,307,342,3620,992,0.0078,0.0971,0.0398,0.031,0.0027,0.0179,19.9498,496.0
Tamil Nadu,Tenkasi,10900,17670,28570,112,513,12,8959,8971,950,900,225,5,230,209,161,1951,580,0.0103,0.0471,0.0872,0.0826,0.0211,0.0192,14.7706,193.3333
Tamil Nadu,Thanjavur,27382,50289,77671,170,964,229,25685,25914,1358,1302,390,0,390,153,264,3550,1192,0.0062,0.0352,0.0496,0.0475,0.0142,0.0056,9.6414,238.4
Tamil Nadu,Theni,15015,14507,29522,103,661,26,7159,7185,1003,949,376,0,376,99,201,2392,940,0.0069,0.044,0.0668,0.0632,0.025,0.0066,13.3866,134.2857
Tamil Nadu,Thirunelveli,23708,20321,44029,601,976,5,10134,10139,1297,1078,295,0,295,161,208,2326,676,0.0254,0.0412,0.0547,0.0455,0.0124,0.0068,8.7734,56.3333
Tamil Nadu,Thirunelveli City,5228,5336,10564,65,445,5,1421,1426,375,355,116,0,116,156,171,813,180,0.0124,0.0851,0.0717,0.0679,0.0222,0.0298,32.7085,180.0
Tamil Nadu,Thiruvallur,10850,20832,31682,155,411,30,11483,11513,577,457,74,8,82,61,159,2372,692,0.0143,0.0379,0.0532,0.0421,0.0076,0.0056,14.6544,692.0
Tamil Nadu,Thiruvannamalai,16306,21075,37381,120,465,30,10199,10229,1022,910,161,19,180,54,216,2483,692,0.0074,0.0285,0.0627,0.0558,0.011,0.0033,13.2467,230.6667
Tamil Nadu,Thiruvarur,9343,23772,33115,53,314,82,10798,10880,808,660,119,0,119,48,180,1152,324,0.0057,0.0336,0.0865,0.0706,0.0127,0.0051,19.2658,324.0
Tamil Nadu,Thoothukudi,18393,17577,35970,296,750,65,8240,8305,1204,779,300,0,300,450,424,2156,872,0.0161,0.0408,0.0655,0.0424,0.0163,0.0245,23.0522,72.6667
Tamil Nadu,Tiruppattur,9175,18896,28071,59,374,14,10259,10273,671,783,99,0,99,140,81,1608,768,0.0064,0.0408,0.0731,0.0853,0.0108,0.0153,8.8283,768.0
Tamil Nadu,Tiruppur,14237,15056,29293,102,547,4,6149,6153,882,714,167,4,171,113,258,2664,924,0.0072,0.0384,0.062,0.0502,0.012,0.0079,18.1218,184.8
Tamil Nadu,Tiruppur City,6185,15974,22159,51,321,10,4279,4289,503,410,37,0,37,116,326,2380,856,0.0082,0.0519,0.0813,0.0663,0.006,0.0188,52.7082,856.0
Tamil Nadu,Trichy,16824,11473,28297,108,725,75,4539,4614,1114,737,249,0,249,405,167,1780,604,0.0064,0.0431,0.0662,0.0438,0.0148,0.0241,9.9263,86.2857
Tamil Nadu,Trichy City,6812,28317,35129,64,477,12,3520,3532,384,385,47,0,47,332,258,1040,356,0.0094,0.07,0.0564,0.0565,0.0069,0.0487,37.8743,356.0
Tamil Nadu,Vellore,14791,14929,29720,57,768,19,6940,6959,709,521,73,0,73,71,360,1646,608,0.0039,0.0519,0.0479,0.0352,0.0049,0.0048,24.3391,40.5333
Tamil Nadu,Villupuram,20973,42707,63680,123,478,16,24439,24455,1182,1045,226,95,321,31,372,2562,420,0.0059,0.0228,0.0564,0.0498,0.0153,0.0015,17.7371,140.0
Tamil Nadu,Virudhunagar,13499,27602,41101,169,522,17,9383,9400,1408,1306,342,0,342,87,184,3118,1084,0.0125,0.0387,0.1043,0.0967,0.0253,0.0064,13.6306,542.0
Telangana,Adilabad,8329,1711,10040,83,451,0,498,498,1255,379,109,81,190,119,324,1212,168,0.01,0.0541,0.1507,0.0455,0.0228,0.0143,38.9002,1.68
Telangana,Bhadradri Kothagudem,13645,2670,16315,97,635,0,744,744,2685,1024,223,209,432,82,994,1210,64,0.0071,0.0465,0.1968,0.075,0.0317,0.006,72.8472,0.4025
Telangana,Cyberabad Commissionerate,148130,11797,159927,542,7094,12,3194,3206,11909,7731,797,222,1019,439,51094,14727,228,0.0037,0.0479,0.0804,0.0522,0.0069,0.003,344.9268,0.1235
Telangana,Hyderabad Commissionerate,93528,9567,103095,797,9543,39,1661,1700,10620,4102,671,132,803,1157,13986,13491,1680,0.0085,0.102,0.1135,0.0439,0.0086,0.0124,149.5381,1.3804
Telangana,Jagityal,13856,1018,14874,111,873,0,279,279,2075,136,433,53,486,6,635,1326,240,0.008,0.063,0.1498,0.0098,0.0351,0.0004,45.8285,20.0
Telangana,Jayashankar Bhupalpalli,6683,1745,8428,84,255,0,945,945,953,187,66,34,100,4,267,432,12,0.0126,0.0382,0.1426,0.028,0.015,0.0006,39.9521,0.2449
Telangana,Jogulamba Gadwal,5802,1080,6882,31,500,0,291,291,687,294,176,0,176,75,280,651,72,0.0053,0.0862,0.1184,0.0507,0.0303,0.0129,48.2592,1.0909
Telangana,Kamareddy,13257,1831,15088,97,930,4,324,328,1714,369,160,64,224,119,830,2017,460,0.0073,0.0702,0.1293,0.0278,0.0169,0.009,62.6084,8.8462
Telangana,Karimnagar Commissionerate,17768,1785,19553,133,1287,0,497,497,1924,323,553,111,664,140,1037,1540,196,0.0075,0.0724,0.1083,0.0182,0.0374,0.0079,58.3633,3.322
Telangana,Khammam Commissionerate,21321,1983,23304,124,1309,6,478,484,3103,1255,278,159,437,86,1390,1861,52,0.0058,0.0614,0.1455,0.0589,0.0205,0.004,65.1939,0.1891
Telangana,Kumaram Bheem Asifabad,4002,2003,6005,59,238,0,738,738,683,218,92,71,163,49,120,456,36,0.0147,0.0595,0.1707,0.0545,0.0407,0.0122,29.985,0.6
Telangana,Mahabubabad,8167,3437,11604,73,442,2,1975,1977,1360,455,124,134,258,69,420,754,112,0.0089,0.0541,0.1665,0.0557,0.0316,0.0084,51.4265,1.2727
Telangana,Mahabubnagar,9968,1464,11432,146,661,0,128,128,1568,657,213,115,328,81,375,2125,424,0.0146,0.0663,0.1573,0.0659,0.0329,0.0081,37.6204,4.3265
Telangana,Medak,11888,1262,13150,95,921,0,288,288,1254,474,166,32,198,126,420,1584,264,0.008,0.0775,0.1055,0.0399,0.0167,0.0106,35.3297,2.3784
Telangana,Mulug,4181,1123,5304,50,220,0,494,494,545,212,42,62,104,23,114,315,0,0.012,0.0526,0.1304,0.0507,0.0249,0.0055,27.2662,0.0
Telangana,Nagarkurnool,8359,1102,9461,96,438,0,252,252,1383,616,293,87,380,46,447,964,124,0.0115,0.0524,0.1655,0.0737,0.0455,0.0055,53.4753,1.2157
Telangana,Nalgonda,19311,2489,21800,174,1359,4,697,701,2465,529,307,105,412,501,631,1625,200,0.009,0.0704,0.1276,0.0274,0.0213,0.0259,32.6757,6.0606
Telangana,Narayanpet,4588,1160,5748,40,291,0,206,206,835,485,122,18,140,78,76,648,72,0.0087,0.0634,0.182,0.1057,0.0305,0.017,16.565,0.8276
Telangana,Nirmal,8470,1346,9816,90,663,4,406,410,1190,217,127,30,157,31,144,913,88,0.0106,0.0783,0.1405,0.0256,0.0185,0.0037,17.0012,9.7778
Telangana,Nizamabad Commissionerate,21342,2752,24094,171,1801,1,256,257,2512,975,338,114,452,97,1596,3160,460,0.008,0.0844,0.1177,0.0457,0.0212,0.0045,74.7821,1.4375
Telangana,Rachakonda Commissionerate,85202,8966,94168,423,6327,12,1955,1967,10878,2197,1045,391,1436,127,16584,13374,1992,0.005,0.0743,0.1277,0.0258,0.0169,0.0015,194.6433,18.9714
Telangana,Railway Police Secunderabad,4299,344,4643,9,976,1,203,204,28,75,4,4,8,15,0,148,28,0.0021,0.227,0.0065,0.0174,0.0019,0.0035,0.0,1.4
Telangana,Rajanna Siricilla,10894,1821,12715,44,952,3,702,705,1231,253,291,36,327,150,316,750,84,0.004,0.0874,0.113,0.0232,0.03,0.0138,29.0068,1.7143
Telangana,Ramagundam Commissionerate,20534,2849,23383,207,1279,4,970,974,3206,726,527,85,612,210,948,2017,244,0.0101,0.0623,0.1561,0.0354,0.0298,0.0102,46.1673,1.4524
Telangana,Sangareddy,14363,3117,17480,172,1180,0,675,675,1785,678,209,61,270,236,2764,3114,648,0.012,0.0822,0.1243,0.0472,0.0188,0.0164,192.4389,29.4545
Telangana,Siddipet Commissionerate,15361,2331,17692,103,1058,0,578,578,1951,750,336,65,401,433,860,1467,168,0.0067,0.0689,0.127,0.0488,0.0261,0.0282,55.9859,1.4118
Telangana,Suryapet,17723,2043,19766,119,723,0,590,590,2728,703,203,81,284,72,868,1264,52,0.0067,0.0408,0.1539,0.0397,0.016,0.0041,48.9759,0.2873
Telangana,Vikarabad,8571,1443,10014,81,401,0,265,265,1190,729,179,40,219,40,764,1187,152,0.0095,0.0468,0.1388,0.0851,0.0256,0.0047,89.1378,0.7917
Telangana,Wanaparthy,6029,532,6561,37,508,0,8,8,882,418,138,28,166,0,108,850,124,0.0061,0.0843,0.1463,0.0693,0.0275,0.0,17.9134,1.0081
Telangana,Warangal Commissionerate,32509,4281,36790,271,1861,0,1454,1454,4502,1510,466,178,644,275,2402,3686,380,0.0083,0.0572,0.1385,0.0464,0.0198,0.0085,73.8872,1.092
Tripura,Crime Branch,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0
Tripura,Dhalai,703,230,933,33,21,0,125,125,137,56,0,0,0,0,4,486,24,0.0469,0.0299,0.1949,0.0797,0.0,0.0,5.6899,2.6667
Tripura,Gomati,1007,247,1254,25,43,0,48,48,320,142,0,4,4,0,8,780,48,0.0248,0.0427,0.3178,0.141,0.004,0.0,7.9444,4.8
Tripura,Grp,28,588,616,1,4,4,267,271,0,0,0,0,0,0,0,0,0,0.0357,0.1429,0.0,0.0,0.0,0.0,0.0,0.0
Tripura,Kowai,657,288,945,21,27,2,120,122,191,120,0,0,0,9,8,325,4,0.032,0.0411,0.2907,0.1826,0.0,0.0137,12.1766,0.5714
Tripura,North,1376,441,1817,44,97,6,168,174,281,130,0,0,0,0,12,293,44,0.032,0.0705,0.2042,0.0945,0.0,0.0,8.7209,2.5882
Tripura,Sipahijala,1231,594,1825,39,34,4,312,316,232,106,0,0,0,14,9,355,64,0.0317,0.0276,0.1885,0.0861,0.0,0.0114,7.3111,3.3684
Tripura,South,967,219,1186,32,22,0,63,63,275,158,0,0,0,9,20,749,188,0.0331,0.0228,0.2844,0.1634,0.0,0.0093,20.6825,31.3333
Tripura,Unakoti,1133,208,1341,32,58,2,51,53,366,117,0,0,0,14,8,224,104,0.0282,0.0512,0.323,0.1033,0.0,0.0124,7.0609,14.8571
Tripura,West,3474,788,4262,87,201,4,258,262,578,257,0,8,8,12,69,1967,500,0.025,0.0579,0.1664,0.074,0.0023,0.0035,19.8618,19.2308
Uttar Pradesh,Agra,37962,6358,44320,679,2253,585,603,1188,6683,833,1233,0,1233,0,1152,2485,652,0.0179,0.0593,0.176,0.0219,0.0325,0.0,30.3461,40.75
Uttar Pradesh,Aligarh,35958,23011,58969,719,1795,1114,1568,2682,4706,611,814,0,814,0,757,0,0,0.02,0.0499,0.1309,0.017,0.0226,0.0,21.0523,0.0
Uttar Pradesh,Ambedkar Nagar,11990,9336,21326,178,419,233,585,818,1963,351,971,0,971,0,264,0,0,0.0148,0.0349,0.1637,0.0293,0.081,0.0,22.0183,0.0
Uttar Pradesh,Amethi,10690,4466,15156,154,395,218,995,1213,1355,252,1016,0,1016,0,156,251,56,0.0144,0.037,0.1268,0.0236,0.095,0.0,14.5931,56.0
Uttar Pradesh,Amroha,12610,6933,19543,135,388,620,892,1512,1714,396,324,0,324,0,364,313,28,0.0107,0.0308,0.1359,0.0314,0.0257,0.0,28.866,28.0
Uttar Pradesh,Auraiya,8336,8796,17132,98,209,442,662,1104,1539,980,645,0,645,71,221,252,60,0.0118,0.0251,0.1846,0.1176,0.0774,0.0085,26.5115,0.1681
Uttar Pradesh,Ayodhya,15081,7188,22269,152,609,361,1022,1383,2514,1048,774,0,774,0,248,385,232,0.0101,0.0404,0.1667,0.0695,0.0513,0.0,16.4445,0.4092
Uttar Pradesh,Azamgarh,24989,8410,33399,913,1162,889,880,1769,5492,1926,1473,0,1473,0,1148,756,84,0.0365,0.0465,0.2198,0.0771,0.0589,0.0,45.9402,0.1647
Uttar Pradesh,Badaun,14999,11729,26728,388,545,1510,2157,3667,3487,1243,652,0,652,143,309,861,204,0.0259,0.0363,0.2325,0.0829,0.0435,0.0095,20.6014,1.1657
Uttar Pradesh,Baghpat,10271,11048,21319,431,615,584,336,920,1885,599,215,0,215,0,568,519,168,0.042,0.0599,0.1835,0.0583,0.0209,0.0,55.3013,1.1915
Uttar Pradesh,Bahraich,22016,9173,31189,477,808,136,992,1128,5511,2371,1389,0,1389,0,342,774,336,0.0217,0.0367,0.2503,0.1077,0.0631,0.0,15.5342,0.3976
Uttar Pradesh,Ballia,14999,12834,27833,523,636,1078,1259,2337,3269,762,796,0,796,0,487,1204,124,0.0349,0.0424,0.2179,0.0508,0.0531,0.0,32.4688,1.069
Uttar Pradesh,Balrampur,6683,3248,9931,166,303,47,300,347,1375,587,424,0,424,44,156,809,284,0.0248,0.0453,0.2057,0.0878,0.0634,0.0066,23.3428,3.1209
Uttar Pradesh,Banda,11801,5600,17401,286,501,220,697,917,3112,1492,810,0,810,0,454,679,436,0.0242,0.0425,0.2637,0.1264,0.0686,0.0,38.4713,1.3625
Uttar Pradesh,Barabanki,21767,20325,42092,51,336,1084,2500,3584,3665,629,1253,0,1253,0,476,756,516,0.0023,0.0154,0.1684,0.0289,0.0576,0.0,21.868,516.0
Uttar Pradesh,Bareilly,41500,24802,66302,417,2076,1016,1299,2315,7157,1304,1347,0,1347,0,1553,746,140,0.01,0.05,0.1725,0.0314,0.0325,0.0,37.4217,140.0
Uttar Pradesh,Basti,9010,6183,15193,264,456,73,465,538,1686,817,576,0,576,0,282,1222,316,0.0293,0.0506,0.1871,0.0907,0.0639,0.0,31.2986,2.0519
Uttar Pradesh,Bhadohi,4200,4433,8633,115,194,113,240,353,1039,727,442,0,442,0,134,805,388,0.0274,0.0462,0.2474,0.1731,0.1052,0.0,31.9048,1.7018
Uttar Pradesh,Bijnor,22912,15536,38448,223,798,578,799,1377,3211,653,625,0,625,0,1434,1574,860,0.0097,0.0348,0.1401,0.0285,0.0273,0.0,62.5873,430.0
Uttar Pradesh,Bulandshahar,28469,19854,48323,430,1185,3440,2472,5912,3610,954,734,0,734,206,763,578,308,0.0151,0.0416,0.1268,0.0335,0.0258,0.0072,26.8011,308.0
Uttar Pradesh,Chandoli,6570,10266,16836,137,333,128,509,637,1214,374,407,4,411,0,395,529,112,0.0209,0.0507,0.1848,0.0569,0.0626,0.0,60.1218,112.0
Uttar Pradesh,Chitrakoot,5667,5062,10729,230,247,162,588,750,1134,696,387,0,387,0,212,932,740,0.0406,0.0436,0.2001,0.1228,0.0683,0.0,37.4096,3.4419
Uttar Pradesh,Deoria,24780,5795,30575,245,384,204,955,1159,255,93,632,0,632,0,475,0,0,0.0099,0.0155,0.0103,0.0038,0.0255,0.0,19.1687,0.0
Uttar Pradesh,Etah,15348,9830,25178,228,457,378,338,716,1114,251,496,0,496,0,232,404,32,0.0149,0.0298,0.0726,0.0164,0.0323,0.0,15.116,2.2857
Uttar Pradesh,Etawah,8496,12680,21176,149,280,295,289,584,1198,588,433,0,433,70,276,742,376,0.0175,0.033,0.141,0.0692,0.051,0.0082,32.4859,2.2788
Uttar Pradesh,Fatehgarh,7850,7764,15614,186,340,242,273,515,1652,825,169,0,169,0,212,0,0,0.0237,0.0433,0.2104,0.1051,0.0215,0.0,27.0064,0.0
Uttar Pradesh,Fatehpur,13613,7238,20851,291,496,239,664,903,2227,2049,1013,0,1013,0,357,176,176,0.0214,0.0364,0.1636,0.1505,0.0744,0.0,26.2249,0.5552
Uttar Pradesh,Firozabad,19399,15434,34833,296,832,0,237,237,4161,1586,786,0,786,0,402,1294,1180,0.0153,0.0429,0.2145,0.0818,0.0405,0.0,20.7227,2.3274
Uttar Pradesh,Gautambudh Nagar,26086,26433,52519,361,2641,1903,2852,4755,1491,380,122,0,122,0,1527,2843,596,0.0138,0.1012,0.0572,0.0146,0.0047,0.0,58.5371,13.5455
Uttar Pradesh,Ghaziabad,48621,9070,57691,835,5693,398,1021,1419,8473,5891,506,0,506,0,4269,3038,452,0.0172,0.1171,0.1743,0.1212,0.0104,0.0,87.8016,0.2469
Uttar Pradesh,Ghazipur,15018,3578,18596,268,818,327,564,891,2651,4169,653,0,653,181,503,1096,484,0.0178,0.0545,0.1765,0.2776,0.0435,0.0121,33.4931,0.9184
Uttar Pradesh,Gonda,17900,8308,26208,787,801,262,765,1027,6385,3294,1363,0,1363,350,310,528,120,0.044,0.0447,0.3567,0.184,0.0761,0.0196,17.3184,0.1274
Uttar Pradesh,Gorakhpur,38731,9968,48699,304,1456,166,468,634,4741,973,1800,0,1800,13,582,1454,188,0.0078,0.0376,0.1224,0.0251,0.0465,0.0003,15.0267,188.0
Uttar Pradesh,Grp,21946,2897,24843,32,5140,271,700,971,209,48,16,0,16,0,27,250,124,0.0015,0.2342,0.0095,0.0022,0.0007,0.0,1.2303,5.1667
Uttar Pradesh,Hamirpur,7715,14547,22262,187,246,304,773,1077,1426,487,488,0,488,0,251,0,0,0.0242,0.0319,0.1848,0.0631,0.0633,0.0,32.534,0.0
Uttar Pradesh,Hapur,8990,10170,19160,364,476,571,407,978,1972,941,234,0,234,15,461,2172,720,0.0405,0.0529,0.2194,0.1047,0.026,0.0017,51.2792,10.5882
