motive,total_incidents
Fraud,3147.0
Others,422.0
Sexual Exploitation,255.0
Extortion,162.0
Causing Disrepute,117.0
Personal Revenge,106.0
Political Motives,93.0
Emotional Motives Like Anger Etc,31.0
Developing Own Business,19.0
Sale Purchase Illegal Drugs,18.0
Prank,14.0
Steal Information,4.0
Disrupt Public Service,4.0
Inciting Hate Against Country,1.0
Spreading Piracy,1.0
Psycho Or Pervert,1.0
City,0.0
Terrorist Activities,0.0
Abetment To Suicide,0.0
