state,district,child_rape_of_children_section_64_to_section_71_bns_section_376_ipc,child_attempt_to_commit_rape_section_64_6870_71_rw_sec_62_bns_sec_376_rw_511_ipc,child_assault_on_children_with_intent_to_outrage_her_modesty_section_74_bnssec_354_ipc,child_sexual_harassment_of_girls_section_75_bnssection_354a_ipc,child_assault_on_girls_with_intent_to_disrobe_section_76_bns_section_354b_ipc,child_voyeurism_section_77_bns_section_354c_ipc,child_stalking_section_78_bns_section_354d_ipc,child_insult_to_the_modesty_of_women_section_79_bnssection_509_ipc,child_kidnapping_or_abducting_or_inducing_of_girls_to_compel_her_for_marriage_section_87_bns_section_366_ipc,child_foeticide_section_91_bns_section_315_ipc,child_infanticide_section_92_bns_section_316_ipc,child_exposure_and_abandonment_section_93_94_bns_section_317_318_ipc,child_hiring_or_employing_or_engaging_child_to_commit_an_offence,child_procuration_of_children_section_96_bns_section_366a_ipc_procuration_of_children_total_ab,child_a_procuration_of_girls,child_b_procuration_of_boys,child_kidnapping_or_abducting_child_with_intent_to_steal_from_its_person_section_97_bnssection_369_ipc,child_selling_of_children_for_prostitution_section_98_bns_section_372_ipc_selling_of_children_for_prostitution_total_ab,child_a_girls,child_b_boys,child_buying_of_children_for_prostitution_section_99_bns_section_373_ipc_buying_of_children_for_prostitution_total_ab,child_murder_section_103104_bnssection_302_ipc_murder_total_ab,child_a_murder_with_rapepocso,child_b_other_murder,child_abetment_of_suicide_of_child_section_107108_bns_section_305306_ipc,child_attempt_to_commit_murder_section_109_bns_section_307_ipc,child_hurt_or_grievous_hurt_section_1172_11812121132125124etc_bns,child_kidnapping_and_abduction_of_children_section_137_138_bns_section_363_ipc_kidnapping_and_abduction_of_children_total,child_kidnapping_and_abduction_section_137_bnssection_363_ipc_kidnapping_and_abduction_ab,child_a_missing_children_deemed_as_kidnapped,child_b_kidnapping_abduction_of_children,child_kidnapping_and_abduction_for_the_purpose_of_begging_section_139_section_363a_ipc,child_kidnapping_and_abduction_in_order_to_murder_section_1401_bns_section_364_ipc,child_kidnapping_and_abduction_for_ransom_section_1402_bns_section_364a_ipc,child_importation_of_girl_or_boy_from_foreign_country_section_141_bns_section_366_b_ipc_importation_of_girl_or_boy_from_foreign_country_total_ab,child_a_importation_of_girls,child_b_importation_of_boys,child_other_kidnapping_abduction_sec_1403_1404_142_bns_section_365_367_368_ipc,child_otheripcbns_crimes,child_total_ipcbns_crimes_against_children,child_protection_of_children_from_sexual_offences_act_protection_of_children_from_sexual_offences_act_total,child_section_4_6_of_pocso_act_or_pocso_act_section_4_6_rw_section_376_ipc64_68_70_71_bns_section_4_6_of_pocso_act_total_ab,child_section_8_10_of_pocso_act_or_pocso_act_section_8_10_rw_section_354_ipc74_bns_section_8_10_of_pocso_act_total_ab,child_section_12_of_pocso_act_or_pocso_act_section_12_rw_section_509_ipc75_bns_section_12_of_pocso_act_or_pocso_acttotal_ab,child_section_14_15_of_pocso_act_section_14_15_of_pocso_act_total_ab,child_sections_17_to_22_of_pocso_act_sections_17_to_22_of_pocso_act_total_ab,child_juvenile_justice_care_and_protection_of_children_act_juvenile_justice_care_and_protection_of_children_act_total_ab,child_a_offences_by_care_takersin_charge_of_juvenile_homes,child_b_other_offences,child_immoral_traffic_prevention_act_immoral_traffic_prevention_act_total_abc,child_a_procuring_inducing_children_for_the_sake_of_prostitution,child_b_detaining_a_person_in_premises_where_prostitution_is_carried_on,child_c_other_ipt_acts,child_child_labour_prohibition_regulation_act,child_prohibition_of_child_marriage_act,child_transplantation_of_human_organs_act,child_cyber_crimesinformation_technology_act_cyber_crimesinformation_technology_act_total_ab,child_a_publishing_or_transmitting_of_material_depicting_children_in_sexually_explicit_act,child_b_other_cyber_crimes_against_children,child_other_sll_crimes,child_total_sll_crimes,child_total_crimes_against_children_ipcbns_sll_crimes
Bihar,Jamalpur Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bihar,Jamui,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,7,9,0,0,0,0,0,0,0,32,102,38,23,15,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,44,146
Bihar,Jehanabad,0,1,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,49,27,21,6,0,0,0,0,0,0,22,13,149,36,12,19,5,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,40,189
Bihar,Katihar,0,0,0,0,0,0,8,0,70,0,0,0,0,0,0,0,0,0,0,0,0,10,1,9,0,30,40,14,7,0,7,0,0,0,0,0,0,7,79,251,51,32,14,5,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5,73,324
Bihar,Katihar Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Bihar,Khagaria,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,6,0,6,0,0,0,0,0,0,0,19,45,28,16,12,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,31,76
Bihar,Kishanganj,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,35,35,0,35,0,0,0,0,0,0,0,11,93,53,47,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,55,148
Bihar,Lakhisarai,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,71,9,62,0,0,0,0,0,0,18,25,246,23,10,8,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,25,271
Bihar,Madhepura,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,17,15,0,15,0,0,1,0,0,0,1,29,200,36,23,6,7,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,56,256
Bihar,Madhubani,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,15,15,0,15,0,0,0,0,0,0,0,29,277,51,29,21,1,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,72,349
Bihar,Motihari,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,61,60,19,41,0,0,1,0,0,0,0,47,247,152,42,28,0,82,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,194,441
Bihar,Munger,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,4,15,0,0,0,0,0,0,0,13,180,24,6,12,6,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,44,224
Bihar,Muzaffarpur,0,0,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,99,99,99,0,0,0,0,0,0,0,0,66,539,74,21,46,6,1,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,95,634
Bihar,Muzaffarpur Railway,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
Bihar,Nalanda,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,143,112,20,92,0,0,0,0,0,0,31,48,441,106,55,44,6,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,119,560
Bihar,Naugachia,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,48,37,0,37,0,0,0,0,0,0,11,53,160,22,10,9,2,0,1,0,0,0,0,0,0,0,1,0,0,4,4,0,0,27,187
Bihar,Nawadah,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,52,32,32,0,0,0,1,0,0,0,19,43,197,49,15,34,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,73,270
Bihar,Patna,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,481,378,18,360,0,0,0,0,0,0,103,86,1106,180,69,102,9,0,0,0,0,0,0,0,0,0,26,0,0,2,2,0,0,208,1314
Bihar,Patna Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,1,29,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34
Bihar,Purnea,1,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,22,15,83,62,62,0,0,1,0,0,0,0,20,55,419,109,76,20,10,0,3,0,0,0,3,3,0,0,15,2,0,0,0,0,0,129,548
Bihar,Rohtas,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,148,96,96,0,0,0,1,0,0,0,51,51,380,79,29,32,11,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,89,469
Bihar,Saharsa,0,0,0,0,0,0,1,0,110,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,41,28,0,28,0,0,0,0,0,0,13,20,176,19,7,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20,196
Bihar,Samastipur,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,29,22,22,0,0,1,0,0,0,0,6,36,353,75,35,26,11,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,88,441
Bihar,Saran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,50,53,60,34,24,2,0,0,0,0,0,8,8,0,0,24,0,0,0,0,0,0,92,145
Bihar,Sheikhpura,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,17,17,0,17,0,0,0,0,0,0,0,9,68,30,12,18,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,49,117
Bihar,Sheohar,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,2,0,0,0,0,0,0,0,4,41,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,55
Bihar,Sitamarhi,0,0,0,0,0,0,0,0,244,0,0,0,0,5,5,0,0,0,0,0,0,9,0,9,0,0,0,35,28,28,0,1,1,0,0,0,0,5,35,328,52,31,20,1,0,0,0,0,0,1,1,0,0,30,5,0,0,0,0,0,88,416
Bihar,Siwan,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,12,10,0,0,0,0,0,0,1,52,286,39,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,325
Bihar,Supaul,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,51,0,0,0,0,0,0,0,0,51,210,36,24,11,1,0,0,0,0,0,0,0,0,0,11,0,0,2,2,0,0,49,259
Bihar,Vaishali,0,0,0,5,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,124,76,48,0,0,1,0,0,0,2,30,676,79,31,35,13,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,107,783
Bihar,Economic Offences Unit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
