state,district,women_rape_sec_64_6870_71_bnssec376_ipc_rape_total_ab,women_a_women_18_years_and_above,women_b_girls_below_18_years,women_sexual_intercourse_by_employing_deceitful_means_sec_69_bns,women_murder_with_rapegang_rape_sec_103_rw_sec_64_6870_71_bns_sec_302_rw_376_ipc,women_attempt_to_commit_rape_sec_64_rw_62_bnssec376_rw_511_ipc_attempt_to_commit_rape_total_ab,women_assault_on_women_with_intent_to_outrage_her_modesty_sec_74_bnssec354_ipc_assault_on_women_with_intent_to_outrage_her_modesty_total_ab,women_sexual_harassment_sec_75_bnssec354a_ipc_sexual_harassment_total_ab,women_assault_or_use_of_criminal_force_with_intent_to_disrobe_sec_76_bnssec_354b_ipc_assault_or_use_of_criminal_force_with_intent_to_disrobe_total_ab,women_voyeurism_sec_77_bnssec_354c_ipc_voyeurism_total_ab,women_stalking_sec_78_bnssec_354d_ipc_stalking_total_ab,women_insult_to_the_modesty_of_women_sec_79_bnssec_509_ipc_insult_to_the_modesty_of_women_total_ab,women_dowry_deaths_sec_80_bns_sec_304b_ipc,women_cruelty_by_husband_or_his_relatives_sec_85_bnssec_498_a_ipc,women_kidnapping_or_abducting_or_inducing_women_to_compel_her_for_marriage_sec_87_bnssec_366_ipc_kidnapping_or_abducting_or_inducing_women_to_compel_her_for_marriage_total_ab,women_miscarriage_sec_88_to_90_bnssec_313_and_314_ipc,women_procuration_of_minor_girls_sec_96_bnssec_366a_ipc,women_selling_of_girls_for_prostitution_sec_98_bnssec_372_ipc,women_buying_of_girls_for_prostitution_sec_99_bnssec_373_ipc,women_abetment_to_suicides_of_women_us_107108_bnssec_305306_ipc,women_acid_attack_sec_1241_bnssec_326a_ipc,women_attempt_to_acid_attack_sec_1242_bnssec_326b_ipc,women_kidnapping_abduction_of_women_kidnapping_abduction_of_women_total_abcde,women_a_k_a_sec137_138_bnssec_363_ipc,women_kidnapping_abduction_of_women_b_k_a_in_order_to_murder_sec1401_bnssec_364_ipc,women_c_kidnapping_for_ransom_sec_1402_bnssec_364a_ipc,women_d_importation_of_girls_from_foreign_country_sec_141_bnssec_366_b_ipc,women_kidnapping_abduction_of_women_e_ka_of_women_others_sec_1403_1404142_bnssec_365_367_368_ipc,women_total_ipcbns_crimes_against_women,women_dowry_prohibition_act_1961,women_immoral_traffic_prevention_act_1956_women_victim_cases_only_immoral_traffic_prevention_act_total_abcde,women_a_procuring_inducing_children_for_the_sake_of_prostitution_sec_5,women_b_detaining_a_person_in_premises_where_prostitution_is_carried_onsec_6,women_immoral_traffic_prevention_act_1956_women_victim_cases_only_c_prostitution_in_or_in_the_vicinity_of_public_places_sec_7,women_d_seducing_or_soliciting_for_purpose_of_prostitution_sec_8,women_e_other_sections_under_itp_act,women_protection_of_women_from_domestic_violence_act_2005,women_cyber_crimesinformation_technology_act_women_centric_crimes_only_cyber_crimesinformation_technology_act_total_ab,women_a_publishing_or_transmitting_of_sexually_explicit_material_sec_67a67bgirls_it_act,women_b_other_women_centric_cyber_crimes_ex_blackmailingdefamationmorphingfake_profile,women_protection_of_children_from_sexual_violence_act_girl_child_victims_only_pocso_act_total_abcde,women_a_pocso_act_sec_4_6,women_b_pocso_act_sec_8_10,women_protection_of_children_from_sexual_violence_act_girl_child_victims_only_c_pocso_act_sec_12,women_d_pocso_act_sec_14_15,women_e_pocso_act_sec_17_22,women_indecent_representation_of_women_prohibition_act_1986,women_total_sll_crimes_against_women,women_total_crime_against_women_ipcbns_sll_crimes
Madhya Pradesh,Singrauli,85,4,1,3,0,0,49,16,0,1,12,8,18,198,5,3,0,0,0,21,0,0,161,161,0,0,0,0,580,1,0,0,0,0,0,0,0,0,0,0,136,94,42,0,0,0,0,137,717
Madhya Pradesh,Tikamgarh,45,0,6,2,2,0,63,0,0,0,3,2,6,19,6,0,0,0,0,6,0,0,95,95,0,0,0,0,249,0,0,0,0,0,0,0,0,2,0,2,94,67,26,0,1,0,0,96,345
Madhya Pradesh,Ujjain,87,6,4,3,0,1,55,69,4,11,39,11,13,218,10,0,0,0,0,10,0,0,217,216,0,0,0,1,748,0,3,1,0,2,0,0,0,0,0,0,129,102,4,23,0,0,0,132,880
Madhya Pradesh,Umaria,25,1,0,0,4,0,30,0,0,0,0,1,0,39,1,0,0,0,0,4,0,0,116,116,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,57,41,16,0,0,0,0,57,277
Madhya Pradesh,Vidisha,60,2,14,0,1,0,149,9,3,0,40,4,11,139,16,0,0,0,1,22,0,0,220,220,0,0,0,0,675,0,0,0,0,0,0,0,0,0,0,0,177,81,93,3,0,0,0,177,852
Madhya Pradesh,Cyber Crime Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,0,0,0,0,54,54
Madhya Pradesh,Niwari,15,0,0,0,0,1,5,23,0,0,2,0,2,60,0,0,0,0,0,9,0,0,33,33,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,41,26,15,0,0,0,0,41,191
Madhya Pradesh,Bhopal Rural,13,0,0,0,0,0,29,9,0,0,0,2,7,34,0,0,0,0,0,5,0,0,47,43,0,0,0,4,146,0,0,0,0,0,0,0,0,0,0,0,62,41,16,4,1,0,0,62,208
Madhya Pradesh,Indore Rural,46,0,7,6,0,0,44,6,0,1,18,4,4,128,7,0,0,0,0,11,0,0,155,153,0,0,0,2,430,0,0,0,0,0,0,0,0,0,0,0,132,96,36,0,0,0,0,132,562
Madhya Pradesh,Pandhurna,2,0,0,0,0,0,4,1,0,0,2,0,0,13,0,0,0,0,0,4,0,0,40,40,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,9,4,5,0,0,0,0,9,75
Madhya Pradesh,Maihar,13,0,0,2,1,0,30,0,0,0,0,0,5,40,0,0,0,0,0,2,0,0,106,106,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,53,33,20,0,0,0,0,53,252
Madhya Pradesh,Mauganj,23,0,0,1,0,0,25,22,0,0,0,2,9,41,0,0,0,0,0,4,0,0,96,96,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,59,37,19,3,0,0,0,59,282
Maharashtra,Ahilyanagar,121,10,0,0,1,0,500,64,16,3,90,18,6,420,10,0,1,0,0,42,1,0,481,479,1,1,0,0,1774,0,15,0,15,0,0,0,0,2,2,0,368,184,184,0,0,0,0,385,2159
Maharashtra,Akola,35,0,4,0,0,0,90,74,5,9,43,5,9,264,4,0,0,0,0,5,0,0,107,107,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,178,70,108,0,0,0,0,178,828
Maharashtra,Amravati Commr,47,0,3,2,0,0,49,36,3,2,69,9,1,150,3,1,0,0,0,1,0,1,86,86,0,0,0,0,460,5,0,0,0,0,0,0,0,0,0,0,128,43,84,1,0,0,0,133,593
Maharashtra,Amravati Rural,42,1,0,4,0,0,54,64,6,1,67,18,2,238,1,1,0,0,0,7,0,0,181,181,0,0,0,0,686,0,0,0,0,0,0,0,0,1,0,1,177,80,96,0,0,1,0,178,864
Maharashtra,Chhatrapati Sambhajinagar Commr,92,3,0,5,0,0,170,60,6,1,85,10,11,266,3,5,1,0,0,12,1,0,175,173,0,0,0,2,903,0,9,6,3,0,0,0,0,0,0,0,152,69,83,0,0,0,0,161,1064
Maharashtra,Chhatrapati Sambhajinagar Rural,47,1,0,0,1,0,134,88,9,1,31,9,6,337,1,4,0,0,0,23,0,0,136,135,0,1,0,0,827,0,9,0,0,0,0,9,0,0,0,0,179,94,83,2,0,0,0,188,1015
Maharashtra,Beed,79,8,0,1,0,0,153,107,33,3,68,15,5,551,8,6,0,0,0,51,1,0,163,149,0,3,0,11,1244,0,6,0,0,0,0,6,0,0,0,0,171,91,80,0,0,0,0,177,1421
Maharashtra,Bhandara,19,0,0,1,0,0,25,29,5,0,17,5,0,25,0,0,0,0,0,2,0,0,66,66,0,0,0,0,194,0,1,1,0,0,0,0,0,1,1,0,83,51,31,1,0,0,0,85,279
Maharashtra,Buldhana,52,2,5,0,0,0,96,140,22,1,54,18,6,208,7,0,0,0,0,20,0,0,152,149,0,0,0,3,776,1,2,0,0,0,0,2,0,4,0,4,186,71,112,3,0,0,0,193,969
Maharashtra,Chandrapur,46,1,0,0,0,0,57,69,11,6,31,28,1,144,1,0,0,0,0,6,0,0,154,154,0,0,0,0,554,0,0,0,0,0,0,0,0,1,1,0,209,121,65,23,0,0,0,210,764
Maharashtra,Dhule,14,7,0,0,0,0,26,38,51,0,5,9,0,431,7,2,0,0,0,13,0,0,168,168,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0,61,44,17,0,0,0,0,61,825
Maharashtra,Gadchiroli,11,0,2,1,0,0,8,14,4,1,8,2,0,10,2,0,1,0,0,2,0,0,59,59,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,88,71,16,1,0,0,0,88,211
Maharashtra,Gondia,30,1,0,2,1,0,25,15,9,5,30,16,0,32,1,0,0,0,0,4,1,0,117,117,0,0,0,0,288,2,0,0,0,0,0,0,0,0,0,0,104,80,24,0,0,0,0,106,394
Maharashtra,Hingoli,13,3,0,4,0,0,59,36,8,0,10,3,2,166,3,3,3,0,0,4,0,0,43,43,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,54,32,21,1,0,0,0,54,411
Maharashtra,Jalgaon,52,0,0,4,3,0,130,48,12,7,34,12,1,444,0,0,0,0,0,18,0,0,295,295,0,0,0,0,1060,0,4,1,0,3,0,0,0,4,3,1,184,95,87,2,0,0,0,192,1252
Maharashtra,Jalna,53,1,0,0,0,0,203,79,15,8,28,4,5,447,1,5,0,0,0,9,0,0,164,160,0,4,0,0,1021,0,0,0,0,0,0,0,0,0,0,0,120,55,65,0,0,0,0,120,1141
Maharashtra,Kolhapur,58,0,0,1,1,0,143,50,8,3,34,10,6,132,0,3,0,0,0,17,0,0,203,202,0,0,0,1,669,0,20,0,0,20,0,0,1,0,0,0,226,128,11,87,0,0,0,247,916
Maharashtra,Latur,41,0,5,3,1,0,132,34,8,7,22,5,2,389,5,2,5,0,0,16,0,0,175,174,0,0,0,1,847,0,0,0,0,0,0,0,0,8,7,1,106,61,45,0,0,0,0,114,961
Maharashtra,Mumbai Commr,411,4,1,32,1,0,857,286,37,71,467,676,8,855,5,7,2,0,0,31,2,0,1224,1222,0,0,0,2,4972,0,33,0,0,0,33,0,1,21,5,16,1331,610,684,35,1,1,0,1386,6358
Maharashtra,Mumbai Railway,2,0,0,0,0,0,42,31,0,0,10,9,0,0,0,0,0,0,0,2,0,0,25,25,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,22,5,7,9,0,1,0,22,143
Maharashtra,Nagpur Commr,136,3,0,19,0,0,146,96,14,11,101,24,3,294,3,0,0,0,0,16,0,0,359,356,0,2,0,1,1222,1,16,0,0,16,0,0,0,1,1,0,273,142,131,0,0,0,0,291,1513
Maharashtra,Nagpur Railway,2,0,0,0,0,0,5,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,0,0,6,19
Maharashtra,Nagpur Rural,34,2,0,8,1,0,44,34,7,5,34,16,2,38,2,1,0,0,0,10,0,0,161,153,0,0,0,8,397,1,0,0,0,0,0,0,0,5,0,5,155,86,14,55,0,0,0,161,558
Maharashtra,Nanded,38,1,0,0,1,0,206,27,6,5,21,9,4,366,1,0,0,0,0,20,0,0,181,179,0,0,0,2,885,0,1,0,0,0,0,1,1,0,0,0,182,103,77,2,0,0,0,184,1069
Maharashtra,Nandurbar,15,0,0,2,1,0,31,8,3,1,7,9,0,96,0,0,0,0,0,13,0,0,79,76,2,1,0,0,265,0,0,0,0,0,0,0,0,0,0,0,55,32,23,0,0,0,0,55,320
Maharashtra,Nasik Commr,62,0,0,0,0,0,169,0,0,0,7,11,2,169,0,0,0,0,0,11,0,0,255,254,0,0,0,1,686,0,4,0,0,0,0,4,0,2,2,0,121,58,63,0,0,0,0,127,813
Maharashtra,Nasik Rural,48,1,0,1,0,0,127,65,24,0,32,13,3,548,1,5,0,0,0,25,1,1,474,433,0,4,0,37,1368,1,3,0,0,2,1,0,0,3,2,1,251,144,97,10,0,0,0,258,1626
Maharashtra,Navi Mumbai,88,0,0,0,1,0,94,20,4,3,30,51,3,152,0,1,0,0,0,16,0,0,317,316,0,0,0,1,780,0,0,0,0,0,0,0,0,1,1,0,166,92,72,2,0,0,0,167,947
Maharashtra,Dharashiv,42,0,4,4,0,0,94,46,5,0,14,8,2,140,4,0,0,0,0,14,0,0,106,104,0,0,0,2,479,0,3,3,0,0,0,0,0,2,1,1,72,34,36,1,0,1,0,77,556
Maharashtra,Palghar,25,0,0,0,2,0,50,4,3,3,14,14,0,36,0,1,0,0,0,3,0,0,135,134,0,1,0,0,290,0,0,0,0,0,0,0,0,0,0,0,30,23,7,0,0,0,0,30,320
Maharashtra,Parbhani,33,2,0,0,0,0,52,39,6,1,24,4,5,220,2,0,0,0,0,12,0,0,73,72,0,0,0,1,471,0,0,0,0,0,0,0,0,3,3,0,128,61,34,32,1,0,0,131,602
Maharashtra,Pune Commr,244,3,0,0,1,0,222,159,18,24,165,64,4,514,3,6,0,0,0,29,1,0,602,602,0,0,0,0,2056,0,0,0,0,0,0,0,0,0,0,0,575,262,177,136,0,0,0,575,2631
Maharashtra,Pune Railway,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Maharashtra,Pune Rural,103,2,2,8,1,0,291,58,33,5,87,27,5,215,4,1,0,0,0,28,0,0,379,379,0,0,0,0,1245,0,12,9,0,0,3,0,2,0,0,0,417,207,202,7,0,1,0,431,1676
Maharashtra,Raigad,27,0,1,4,0,0,64,18,1,5,29,21,1,44,1,0,0,0,0,9,0,0,103,103,0,0,0,0,327,0,0,0,0,0,0,0,1,0,0,0,119,76,40,1,2,0,0,120,447
Maharashtra,Ratnagiri,23,0,0,1,0,0,35,25,1,2,21,29,0,11,0,0,0,0,0,3,0,0,54,54,0,0,0,0,205,0,0,0,0,0,0,0,0,5,5,0,71,40,10,13,8,0,0,76,281
Maharashtra,Sangli,53,9,0,2,1,0,67,54,17,6,36,12,4,113,9,5,1,0,0,19,0,0,201,188,0,2,0,11,600,0,0,0,0,0,0,0,0,4,4,0,142,80,14,47,0,1,0,146,746
Maharashtra,Satara,46,0,2,1,0,0,138,62,20,7,52,20,0,150,2,1,2,0,0,16,0,0,222,220,0,0,0,2,739,0,0,0,0,0,0,0,0,1,0,1,222,120,56,45,1,0,0,223,962
Maharashtra,Sindhudurg,9,0,0,0,0,0,18,20,5,3,11,2,0,5,0,0,0,0,0,0,0,0,18,18,0,0,0,0,91,0,1,1,0,0,0,0,0,0,0,0,42,32,9,1,0,0,0,43,134
Maharashtra,Solapur Commr,45,0,1,0,0,0,67,10,6,2,36,11,0,161,1,0,1,0,0,6,0,0,67,67,0,0,0,0,413,0,0,0,0,0,0,0,0,0,0,0,109,43,66,0,0,0,0,109,522
Maharashtra,Solapur Rural,85,0,6,8,0,0,136,105,74,1,76,17,11,155,6,4,1,0,0,33,2,1,220,220,0,0,0,0,935,0,2,0,2,0,0,0,1,0,0,0,242,142,100,0,0,0,0,245,1180
Maharashtra,Thane Commr,203,1,0,0,3,0,280,65,11,15,95,89,6,463,1,9,0,0,0,24,1,0,794,793,0,0,0,1,2059,0,2,0,0,0,0,2,0,10,10,0,534,265,260,9,0,0,0,546,2605
Maharashtra,Thane Rural,52,0,0,1,1,0,64,24,3,0,12,9,2,47,0,0,0,0,0,3,0,0,131,128,0,0,0,3,349,0,0,0,0,0,0,0,0,0,0,0,121,68,51,2,0,0,0,121,470
Maharashtra,Wardha,18,0,0,0,0,0,25,38,5,3,16,6,0,63,0,0,0,0,0,5,0,0,120,120,0,0,0,0,299,0,0,0,0,0,0,0,0,3,2,1,110,59,51,0,0,0,0,113,412
Maharashtra,Washim,21,0,2,0,1,0,57,33,2,3,18,3,1,196,2,0,0,0,0,10,0,0,53,32,0,0,0,21,400,0,0,0,0,0,0,0,0,0,0,0,86,50,36,0,0,0,0,86,486
Maharashtra,Yavatmal,62,0,6,4,1,0,83,137,16,2,54,7,10,306,6,3,0,0,0,14,0,0,242,240,1,1,0,0,947,1,3,0,3,0,0,0,0,0,0,0,217,107,19,91,0,0,0,221,1168
