state,district,missing_male_total_male,missing_male_below_12_years,missing_male_12_years_above_below_16_years,missing_male_16_years_above_below_18_years,missing_male_children,missing_male_18_years_above,missing_female_total_female,missing_female_below_12_years,missing_female_12_years_above_below_16_years,missing_female_16_years_above_below_18_years,missing_female_children,missing_female_18_years_above,missing_trans_gender_total_transgender,missing_transgender_below_12_years,missing_transgender_12_years_above_below_16_years,missing_transgender_16_years_above_below_18_years,missing_transgender_children,missing_transgender_18_years_above,missing_total_grand_total,missing_total_below_12_years,missing_total_12_years_above_below_14_years,missing_total_14_years_above_below_18_years,missing_total_children,missing_total_18_years_above
Delhi,Outer,889,19,54,36,109,780,1410,7,200,166,373,1037,0,0,0,0,0,0,2299,26,254,202,482,1817
Delhi,Railway,63,7,4,0,11,52,47,3,6,2,11,36,0,0,0,0,0,0,110,10,10,2,22,88
Delhi,South,575,11,36,30,77,498,736,10,65,91,166,570,0,0,0,0,0,0,1311,21,101,121,243,1068
Delhi,South-East,818,32,54,35,121,697,1119,66,143,145,354,765,0,0,0,0,0,0,1937,98,197,180,475,1462
Delhi,South-West,631,38,76,24,138,493,900,19,175,73,267,633,0,0,0,0,0,0,1531,57,251,97,405,1126
Delhi,Spl Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,Spuwac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,Vigilance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,West,613,22,43,20,85,528,937,9,123,122,254,683,0,0,0,0,0,0,1550,31,166,142,339,1211
Delhi,Rohini,654,17,41,46,104,550,917,23,107,142,272,645,0,0,0,0,0,0,1571,40,148,188,376,1195
Delhi,Shahdara,632,15,33,35,83,549,744,7,93,116,216,528,0,0,0,0,0,0,1376,22,126,151,299,1077
Delhi,Dwarka,922,40,84,24,148,774,1396,21,240,97,358,1038,0,0,0,0,0,0,2318,61,324,121,506,1812
Delhi,Outer North,1174,68,97,67,232,942,2016,71,277,281,629,1387,0,0,0,0,0,0,3190,139,374,348,861,2329
Jammu & Kashmir,Anantnag,38,0,14,1,15,23,143,1,24,15,40,103,0,0,0,0,0,0,181,1,38,16,55,126
Jammu & Kashmir,Awantipora,13,1,0,0,1,12,27,0,0,0,0,27,0,0,0,0,0,0,40,1,0,0,1,39
Jammu & Kashmir,Bandipora,24,0,1,1,2,22,66,0,0,0,0,66,0,0,0,0,0,0,90,0,1,1,2,88
Jammu & Kashmir,Baramulla,32,0,0,1,1,31,58,1,0,0,1,57,0,0,0,0,0,0,90,1,0,1,2,88
Jammu & Kashmir,Budgam,60,0,0,0,0,60,87,0,0,0,0,87,0,0,0,0,0,0,147,0,0,0,0,147
Jammu & Kashmir,Special Crime Wing Jammu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Special Crime Wing Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Doda,23,0,2,0,2,21,84,0,0,0,0,84,0,0,0,0,0,0,107,0,2,0,2,105
Jammu & Kashmir,Ganderbal,36,0,0,1,1,35,66,0,2,10,12,54,0,0,0,0,0,0,102,0,2,11,13,89
Jammu & Kashmir,Handwara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
